                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.78027,                0.61917,                  1.142,                 0.8466,                0.82949,                0.89575,                0.66736,                0.98705,                0.72684,                 1.3831,             0.00084184,             0.00084184,             0.00084184
                     52,                0.77169,                0.60593,                 1.1374,                0.90833,                0.89641,                0.93513,                0.69861,                0.95981,                0.56815,                  1.335,             0.00082533,             0.00082533,             0.00082533
                     53,                 0.7442,                0.57692,                 1.1249,                0.89406,                0.88488,                 0.9296,                0.71317,                0.91318,                0.56048,                 1.3141,             0.00080883,             0.00080883,             0.00080883
                     54,                0.76257,                0.57644,                 1.1222,                0.87907,                0.81786,                0.89706,                 0.6679,                 1.0099,                0.63471,                 1.3998,             0.00079233,             0.00079233,             0.00079233
                     55,                 0.7611,                0.59136,                 1.1265,                0.88826,                0.87748,                0.92495,                0.68778,                0.95691,                0.58367,                 1.4049,             0.00077582,             0.00077582,             0.00077582
                     56,                0.76435,                0.58481,                 1.1243,                0.86316,                 0.8833,                0.93053,                0.70332,                0.92389,                0.57396,                 1.3183,             0.00075932,             0.00075932,             0.00075932
                     57,                0.71979,                0.55329,                 1.1073,                0.89198,                0.87604,                0.92001,                0.67932,                0.94325,                0.55496,                 1.3479,             0.00074282,             0.00074282,             0.00074282
                     58,                0.73814,                0.56828,                 1.1159,                0.91777,                0.89641,                0.94769,                0.71999,                0.96107,                0.50085,                  1.362,             0.00072631,             0.00072631,             0.00072631
                     59,                 0.7348,                0.56119,                 1.1085,                0.90738,                0.86615,                0.90691,                0.69607,                0.90863,                0.59602,                 1.2814,             0.00070981,             0.00070981,             0.00070981
                     60,                0.71262,                0.54695,                 1.1068,                0.90087,                 0.8696,                0.94279,                0.71586,                0.84907,                0.55068,                 1.2538,             0.00069331,             0.00069331,             0.00069331
                     61,                0.73013,                 0.5737,                 1.1131,                0.87984,                0.90432,                0.93708,                 0.7132,                0.98327,                0.57715,                 1.3646,              0.0006768,              0.0006768,              0.0006768
                     62,                0.72503,                0.52382,                 1.1111,                0.87964,                0.87855,                 0.9305,                0.71068,                 0.9227,                0.57738,                 1.3107,              0.0006603,              0.0006603,              0.0006603
                     63,                0.72825,                0.54107,                 1.1084,                0.88547,                 0.9087,                0.93731,                0.71412,                0.96116,                0.56925,                 1.3506,              0.0006438,              0.0006438,              0.0006438
                     64,                0.71325,                0.52818,                 1.0914,                0.79033,                0.88094,                0.89798,                0.67315,                0.94403,                0.64757,                 1.3479,             0.00062729,             0.00062729,             0.00062729
                     65,                0.70005,                0.53127,                  1.092,                0.86781,                0.85095,                0.90567,                0.67984,                0.92966,                0.60032,                 1.3859,             0.00061079,             0.00061079,             0.00061079
                     66,                0.70101,                0.52369,                 1.0894,                0.88782,                0.85781,                0.92035,                0.70684,                0.92182,                0.56681,                 1.3183,             0.00059429,             0.00059429,             0.00059429
                     67,                0.69217,                 0.5328,                 1.0833,                0.87205,                 0.9073,                0.93832,                0.72453,                0.88571,                0.60783,                 1.3008,             0.00057778,             0.00057778,             0.00057778
                     68,                0.68106,                0.51859,                  1.079,                 0.8959,                0.88076,                0.93304,                0.72534,                0.93763,                 0.5852,                 1.3612,             0.00056128,             0.00056128,             0.00056128
                     69,                0.70461,                0.50351,                 1.0838,                0.89711,                0.86928,                0.94136,                0.72607,                0.92291,                0.51876,                 1.3285,             0.00054478,             0.00054478,             0.00054478
                     70,                0.66706,                0.50266,                 1.0742,                0.89164,                 0.9081,                0.93958,                0.72504,                0.95733,                0.56762,                 1.3602,             0.00052827,             0.00052827,             0.00052827
                     71,                0.67914,                0.50261,                 1.0942,                0.89135,                0.86369,                0.92645,                0.69378,                0.98688,                0.54088,                 1.4453,             0.00051177,             0.00051177,             0.00051177
                     72,                0.67595,                0.49964,                 1.0739,                0.89788,                0.90101,                 0.9465,                0.71492,                0.93757,                0.51301,                 1.3573,             0.00049527,             0.00049527,             0.00049527
                     73,                0.67519,                0.49275,                 1.0789,                0.87832,                0.89759,                0.93762,                0.71893,                0.89987,                 0.5509,                 1.3266,             0.00047876,             0.00047876,             0.00047876
                     74,                0.67144,                0.50154,                 1.0717,                0.90412,                0.90511,                0.94086,                0.71258,                0.99719,                0.52927,                 1.4083,             0.00046226,             0.00046226,             0.00046226
                     75,                0.66343,                0.48612,                 1.0777,                 0.9023,                0.88963,                0.93961,                0.72457,                0.90025,                0.57043,                  1.344,             0.00044576,             0.00044576,             0.00044576
                     76,                0.64761,                0.48069,                 1.0668,                0.92457,                0.87167,                0.92872,                0.71912,                0.90136,                0.53508,                 1.3365,             0.00042925,             0.00042925,             0.00042925
                     77,                0.64262,                0.46504,                 1.0583,                0.90991,                0.88434,                0.93764,                0.72441,                0.94668,                0.56069,                 1.3644,             0.00041275,             0.00041275,             0.00041275
                     78,                0.64388,                0.47385,                 1.0736,                0.90969,                 0.8797,                 0.9441,                 0.7329,                0.88525,                0.53291,                  1.348,             0.00039625,             0.00039625,             0.00039625
                     79,                0.64164,                0.48233,                 1.0605,                 0.9152,                0.91638,                0.94984,                0.73385,                0.95314,                0.50743,                 1.3712,             0.00037974,             0.00037974,             0.00037974
                     80,                0.63887,                0.46511,                 1.0632,                0.87001,                 0.8834,                0.92246,                0.71867,                0.90079,                0.52283,                 1.3468,             0.00036324,             0.00036324,             0.00036324
                     81,                0.63909,                0.45924,                 1.0604,                0.88006,                0.88911,                0.92895,                0.72396,                0.94454,                0.51836,                 1.3491,             0.00034674,             0.00034674,             0.00034674
                     82,                0.64176,                0.46879,                 1.0612,                0.87543,                0.91873,                0.92694,                0.71863,                0.96458,                0.53552,                 1.4212,             0.00033023,             0.00033023,             0.00033023
                     83,                 0.6332,                0.45185,                 1.0717,                0.90923,                0.87167,                0.92727,                0.71922,                0.90083,                0.50589,                 1.3377,             0.00031373,             0.00031373,             0.00031373
                     84,                0.61863,                0.45255,                 1.0557,                0.88735,                0.91311,                0.93804,                0.72366,                0.95657,                0.51526,                  1.355,             0.00029723,             0.00029723,             0.00029723
                     85,                0.62962,                0.45171,                 1.0499,                0.90914,                0.91456,                0.93681,                0.72576,                0.92602,                0.49911,                  1.373,             0.00028072,             0.00028072,             0.00028072
                     86,                0.60939,                0.42881,                 1.0466,                0.90917,                 0.8958,                0.92777,                0.73314,                0.93021,                0.52073,                 1.3741,             0.00026422,             0.00026422,             0.00026422
                     87,                0.61235,                0.43341,                 1.0436,                0.89978,                0.91528,                0.94299,                 0.7367,                0.94452,                0.51494,                 1.3929,             0.00024772,             0.00024772,             0.00024772
                     88,                0.60203,                0.43275,                 1.0383,                0.92103,                0.87505,                0.94529,                0.74211,                0.94314,                0.50165,                 1.3654,             0.00023121,             0.00023121,             0.00023121
                     89,                0.60712,                0.43615,                 1.0396,                0.88117,                0.93627,                0.94645,                0.72943,                0.95614,                0.51702,                 1.3876,             0.00021471,             0.00021471,             0.00021471
                     90,                0.59577,                0.42507,                 1.0379,                0.90223,                0.88584,                0.93394,                0.72076,                0.92874,                0.52616,                   1.36,             0.00019821,             0.00019821,             0.00019821
                     91,                0.53164,                 0.3483,                 1.0115,                0.90587,                0.91594,                0.94487,                0.73187,                0.91501,                0.46375,                 1.3785,              0.0001817,              0.0001817,              0.0001817
                     92,                0.49879,                0.30665,                0.99675,                0.92454,                0.89702,                0.94683,                0.73292,                0.94652,                0.47539,                 1.3987,              0.0001652,              0.0001652,              0.0001652
                     93,                0.50286,                  0.305,                0.98827,                0.91805,                 0.9075,                0.95357,                0.72825,                0.92312,                0.47558,                 1.3724,              0.0001487,              0.0001487,              0.0001487
                     94,                0.48985,                0.28784,                0.97489,                0.88428,                0.90935,                0.94271,                0.72525,                 0.9635,                0.50236,                 1.4261,             0.00013219,             0.00013219,             0.00013219
                     95,                0.48406,                0.29676,                0.98048,                0.94324,                0.89764,                0.95738,                0.73988,                0.93905,                0.48708,                   1.39,             0.00011569,             0.00011569,             0.00011569
                     96,                0.48214,                0.29826,                0.97271,                0.92336,                0.90531,                0.94627,                0.72622,                0.91683,                0.50654,                 1.3685,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.47894,                0.28802,                0.97953,                0.92761,                0.90729,                0.94762,                0.72672,                0.93663,                0.49824,                 1.3744,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.46605,                0.27544,                0.96553,                 0.9113,                0.88985,                0.94822,                0.73621,                0.91671,                0.49614,                 1.3673,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.46104,                0.27493,                0.96436,                0.92532,                0.89567,                0.94948,                 0.7372,                0.92788,                0.50171,                 1.3762,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.46292,                0.27802,                0.95357,                0.92432,                0.89567,                0.95246,                0.74073,                0.91892,                0.51264,                 1.3522,             3.3173e-05,             3.3173e-05,             3.3173e-05
