                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.0391,                 1.0861,                 1.5588,                0.52461,                0.59043,                0.63347,                0.42396,                 1.1885,                 2.7794,                 1.7628,             0.00033425,             0.00033425,             0.00033425
                     76,                 1.0535,                 1.0631,                 1.5461,                0.53131,                0.57815,                0.63892,                0.43111,                 1.2259,                 2.7509,                 1.7696,             0.00032188,             0.00032188,             0.00032188
                     77,                 1.0423,                 1.0487,                 1.5385,                0.52542,                0.54356,                0.64419,                0.43598,                 1.2219,                 2.8041,                 1.8029,              0.0003095,              0.0003095,              0.0003095
                     78,                 1.0601,                 1.0769,                 1.5536,                0.60711,                0.57252,                0.66344,                0.45315,                 1.2104,                 2.6476,                  1.725,             0.00029713,             0.00029713,             0.00029713
                     79,                  1.043,                 1.0768,                 1.5579,                0.55024,                0.60259,                0.64308,                0.43069,                 1.2122,                 2.7131,                   1.77,             0.00028475,             0.00028475,             0.00028475
                     80,                 1.0393,                 1.0595,                 1.5403,                0.51908,                0.61443,                0.65947,                0.43241,                 1.2198,                 2.6979,                 1.8167,             0.00027237,             0.00027237,             0.00027237
                     81,                 1.0153,                 1.0234,                 1.5295,                  0.546,                 0.5773,                0.63424,                0.42796,                 1.2415,                   2.79,                 1.7525,                0.00026,                0.00026,                0.00026
                     82,                 1.0012,                0.99796,                 1.5177,                0.52679,                0.63046,                0.63702,                0.42769,                 1.1857,                 2.8309,                 1.7428,             0.00024762,             0.00024762,             0.00024762
                     83,                 1.0165,                 1.0327,                 1.5318,                0.53397,                0.58894,                0.60673,                0.40724,                 1.2134,                 2.8854,                 1.7724,             0.00023525,             0.00023525,             0.00023525
                     84,                 1.0319,                 1.0008,                 1.5373,                0.54367,                0.55637,                0.61635,                0.40586,                 1.2194,                 2.9259,                 1.7683,             0.00022288,             0.00022288,             0.00022288
                     85,                 1.0066,                0.99703,                 1.5127,                0.56717,                0.58093,                0.64676,                0.43144,                 1.1628,                 2.8437,                 1.7262,              0.0002105,              0.0002105,              0.0002105
                     86,                0.98944,                 1.0044,                 1.5027,                0.52934,                0.56889,                0.65532,                0.43866,                 1.1926,                  2.708,                 1.7564,             0.00019813,             0.00019813,             0.00019813
                     87,                0.97854,                0.99776,                 1.4851,                0.52118,                0.58083,                0.61305,                0.41603,                 1.2068,                 2.8009,                 1.8109,             0.00018575,             0.00018575,             0.00018575
                     88,                0.99751,                0.99442,                 1.5048,                0.54473,                0.58191,                0.64914,                0.42491,                 1.1923,                 2.7225,                 1.7464,             0.00017338,             0.00017338,             0.00017338
                     89,                0.99557,                0.97352,                 1.4964,                0.52358,                0.60722,                0.65968,                0.41894,                 1.2025,                 2.7244,                 1.7797,               0.000161,               0.000161,               0.000161
                     90,                0.96435,                0.97804,                 1.4835,                0.55677,                0.61223,                 0.6761,                0.45509,                  1.183,                 2.6123,                 1.7414,             0.00014862,             0.00014862,             0.00014862
                     91,                0.86039,                0.77963,                 1.4195,                0.59385,                0.62113,                 0.7022,                0.48662,                 1.1417,                 2.5246,                  1.731,             0.00013625,             0.00013625,             0.00013625
                     92,                0.83352,                0.72254,                 1.3922,                0.52153,                0.59339,                 0.6733,                0.45217,                  1.153,                 2.5655,                 1.7307,             0.00012387,             0.00012387,             0.00012387
                     93,                0.82314,                0.69824,                 1.3854,                0.55985,                0.66286,                0.68278,                0.47483,                  1.133,                 2.4716,                 1.7215,              0.0001115,              0.0001115,              0.0001115
                     94,                0.81448,                0.68619,                 1.3741,                0.53731,                0.61065,                0.67422,                0.46559,                 1.1878,                 2.4894,                 1.7551,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.81901,                0.69353,                 1.3764,                0.53756,                0.63986,                0.69127,                0.46151,                   1.15,                 2.4055,                 1.7419,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.79297,                0.66884,                 1.3514,                 0.5546,                 0.6574,                 0.6906,                0.47171,                  1.142,                 2.4575,                 1.7113,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.79837,                0.66111,                  1.362,                0.55944,                0.64986,                0.70548,                0.48108,                 1.1553,                 2.4369,                 1.7332,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.79206,                0.67087,                 1.3531,                0.55099,                0.65759,                0.70068,                0.47315,                 1.1644,                 2.4445,                 1.7402,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.77637,                0.65977,                 1.3445,                0.52917,                0.67421,                0.68985,                0.46908,                 1.1651,                 2.4187,                 1.7442,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.79059,                0.65114,                 1.3546,                0.54714,                0.65382,                0.69272,                0.47755,                 1.1462,                 2.4261,                 1.7283,             2.4875e-05,             2.4875e-05,             2.4875e-05
